Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,877.014423503263,927.857547917432,925.441616196776,1023.05162974192,1077.76190658441,1228.70413531195,1272.57320417194,1519.69254818311,1710.57564538432,1699.48799733991,1914.77435127371,2015.51496204541,2069.42464180385,2087.30532306683
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,2665.10903649849,2979.3330899284,2716.69355834805,3020.93057263444,3471.65635908955,3862.48437763265,4301.38282973192,4661.37914319822,4994.92469274671,5423.20168382235,5865.31759085604,6557.80133674236,7274.52468523841,8228.32755984622,8819.51009173416,9636.10870469977,10207.7335023376,10526.3189737173,10570.9681040326,11259.2967004521,11658.8660596051
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,7082.78475736955,7377.69949168115,7465.89932260811,7816.77057806543,8068.2961352061,8446.58797859344,8775.11702646461,9293.83679843142,10019.3578261386,10591.034224285,11405.6403648217,11776.0413453018,12311.0390253609,12643.1491551178,12722.3781829231,13095.4468249877,13500.0416554875,13303.3317888752,13056.8036185828,13003.267118909,12015.6313951015
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,2651.02028294565,2968.24368662168,3136.51670801063,3215.10540973782,3226.12854878707,3289.41035208343,3389.19696673566,3785.15053816335,3838.79462877094,4225.46635014197,4837.7103248494,5362.02090732509,6050.60968618101,6607.29224335356,6470.6735199461,6587.98722101771,6710.75034592031,7412.96526317885,7682.47715828865,8179.29600657648,7337.56955890673
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,13230.6158565053,14055.0559097486,14757.7417252409,15305.45969936,15789.4351993096,16841.1274496447,16173.3262213363,16368.3620576635,17461.3055159453,18720.9337875466,20268.944550699,23183.4838103893,25614.4609889457,25689.7869778499,22434.6178051993,20611.914070407,20347.1845441703,19597.5903185238,18796.3939521053,19039.0045029811,18912.3174809176
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,9969.60059832634,10586.1105734027,11507.8983190072,11949.4160090803,11581.8905138092,11618.7960699385,11226.8773364026,10052.4866557189,11025.1855197998,12214.7400768279,13568.7667646161,14951.7281897097,16570.0111738898,17404.0687077926,16334.7400065189,18061.9343588337,19322.2271236942,19641.3528638347,20131.6804246983,19683.7715056442,20105.1989918165
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,1818.28694777502,1990.57789647875,2115.61164169899,2313.62077009594,2439.91117343673,2658.34951796364,2995.90786329454,3463.98378009445,4043.66310083902,4614.8621143271,5455.42218549941,6411.80663579136,7551.63591039782,8300.48342402442,7233.04493715393,7506.30886457323,8025.45290497468,9364.40776670097,9835.83301127565,10036.8898405952,9969.68530070715
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,27707.4342303419,27562.4596678167,29222.894893298,29509.8765861512,29718.169823562,32031.5554270993,31062.3492934753,29847.9283529006,30355.732380247,33053.2465349766,34050.4715781236,35167.1663623142,36621.0351286655,37249.4504595791,33552.8898221987,32624.2090942429,34326.1448226739,33569.1865005073,36477.7793887055,36444.2620573183,36765.1160710175
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,20876.6566582548,21958.2550454195,22924.7748130041,24171.767188336,25264.3643562136,26321.4464495089,27373.459715943,28718.241079556,29734.7208766173,31308.2105242907,32575.0692539649,34288.8636875396,36544.8859750628,37459.307649507,40300.7555477896,39301.3411198761,41965.3584189919,42826.789579996,45902.047948361,46880.2206571585,46288.3344786414
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,23639.8174634615,24500.2271820533,25417.8491652419,26673.9447069683,27606.4830303088,29388.7774746532,29715.6408471561,31178.6933297272,32111.1244333186,33745.847650488,35013.7140443423,37611.8042485063,39382.7970602244,41316.225176699,40948.2221602982,42041.486681307,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985,49865.9039424185
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,2359.21640181535,2409.19330605464,2567.98740352519,2829.5950940253,3055.92530702127,3442.63193225276,3836.59959060144,4233.44006351165,4716.3776118856,5245.42525100261,6850.8130192909,9387.1093489161,11957.3911716597,13200.9407059748,14248.8924609666,14926.6376401599,14804.5744507911,15957.718850285,17188.9455056612,17443.8782563093,14938.4011276715
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,22083.251819061,23124.2459623412,23725.7653165174,24844.2648472298,26685.4272481873,28033.6844657628,28956.9495224663,29715.460962106,29362.6140772571,29869.3684009328,31260.7733458073,32401.588491035,33117.4705371396,32373.4588434814,30728.5238352345,31090.1140862815,31522.6050264014,32216.4319722829,31872.4900005633,33154.0049145014,33423.7087414326
